演目順,１,－,２２,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",FINALE,,,,TIME,：,3:28,人数,４７,人,
使用曲,WE ARE S.O.P  ,,,,衣装：,下－,ブルー,上－,グリーンT,,
全体の雰囲気,歓喜　楽しみ　明るく,,,,,,,,,,
ポイント,メンバー紹介　ピンスポ　講師紹介へのピンスポ　音響　ボリューム調整,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:48,,明るく　おまかせ,,,,,,
2,0:48,~,1:36,,サビ　明るくおまかせ,,,,,,　
3,1:36,~,2:08,,２番　明るく　おまかせ,,,,,,
4,2:08,~,2:40,,サビ　明るくおまかせ,,,,,,
5,2:40,~,5:34,,メンバー紹介　映像のため暗くする　後半　講師紹介で明るくしてピンスポで追う,,,,,,
6,5:34,~,5:46,,フィナーレ後半合わせ　スタート　フェードイン,,,,,,
7,5:46,~,6:50,,サビ　明るく,,,,,,
8,6:50,~,,,キャノン砲,,,,,,
9,,~,13:04,,S.O.Pジャンプ　みんなで踊る　お辞儀　緞帳を下ろす,,,,,,
10,,~,,,,,,,,,
11,,~,,,,,,,,,
12,,~,,,,,,,,,
13,,~,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
