演目順,1,－,１,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",オープニング,,,,TIME,：,3:05,人数,47,人,
使用曲,BLOOM,,,,衣装：,下－,ブルー,上－,白シャツ,,
全体の雰囲気,かっこよくサビは明るく賑やかに,,,,,,,,,,
ポイント,初めのSS、サス、ピンスポ,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:09,,音の始まりと同時にｓｓで雰囲気を出す　　　　　　　　　センターへそにサスとピンスポからスタート　赤系,,,,,,
2,0:09,~,0:31,,赤系で雰囲気を出してください,,,,,,　
3,0:31,~,0:43,,サビ　黄色など色を増やして少し明るめに動きを出してください,,,,,,
4,0:43,~,0:55 ,,間奏　青系でお願いします,,,,,,
5,0:55,~,1:20,,２番　赤系で雰囲気をお願いします,,,,,,
6,1:20,~,1:33,,サビ　黄色など色を増やして少し明るめに動きを出してください,,,,,,
7,1:33,~,1:45,,選抜パート　色と雰囲気を変えて　黄色系に,,,,,,
8,1:45,~,2:10,,明るくおまかせです,,,,,,
9,2:10,~,2:22,,雰囲気変化　紫系でお願いします,,,,,,
10,2:22,~,2:35,,雰囲気変化だんだん盛り上がってくる,,,,,,
11,2:35,~,2:47,,明るくおまかせです,,,,,,
12,2:47,~,3:05,,SS強めでおまかせです,,,,,,
13,3:05,~,,,最後に花が咲いていくイメージでカウント１で余韻を残して終わります,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
