演目順,1,－,８,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",土曜１０時超入門クラス,,,,TIME,：,3:06,人数,３１,人,
使用曲,BLOOM imazu ayumu  TWS,,,,衣装：,下－,白,上－,オレンジ黒シャツ,,
全体の雰囲気,楽しい　明るい　元気,,,,,,,,,,
ポイント,グループダンスでサスを使います,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:09,,真ん中で集まってスタート　ビートに合わせて上手く照明をつけてください,,,,,,
2,0:09,~,0:42,,黄色でお願いします,,,,,,　
3,0:42,~,0:59,,曲調変化　青系でお願いします,,,,,,
4,0:59,~,1:15,,サビ　カラフルでおまかせです,,,,,,
5,1:15,~,1:32,,ペア　赤系でお願いします,,,,,,
6,1:3２,~,1:4０,,黄色系でお願いします,,,,,,
7,1:40,~,1:57,,曲調変化　青系でお願いします,,,,,,
8,1:5７,~,2:30,,グループダンス　サス２エイト　センター　上手　センター　下手,,,,,,
9,2:30,~,2:34,,全体を一度明るく,,,,,,
10,2:34,~,2:4２,,グループダンス　サス２エイト　センター　,,,,,,
11,2:42,~,３:03,,カラフルで明るめでお願いします,,,,,,
12,3:03,~,,,,,,,,,
13,,~,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
