演目順,1,－,２,板付,,,,,,ピンスポ　なし　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",土曜ちびちびクラス,,,,TIME,：,3:06,人数,23,人,
使用曲,カウントダウン／　KAWAII,,,,衣装：,下－,黒　紫,上－黒　紫,,,
全体の雰囲気,１曲目かっこいい　明るい　２曲目　明るく　元気　可愛い,,,,,,,,,,
ポイント,２曲使い　,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:20,,SSも使って青系でおまかせです,,,,,,
2,0:20,~,0:28,,明るく黄色系でお願いします,,,,,,　
3,0:28,~,0:44,,曲調変化　緑系でおまかせです,,,,,,
4,0:44,~,1:01,,曲調変化　青系でおまかせえです,,,,,,
5,1:01,~,1:17,,サビ　紫系でおまかせです,,,,,,
6,1:17,~,1:36,,曲調変化　ラララ　黄色系でおまかせです,,,,,,
7,1:36,~,1:45,,２曲目　イントロ　SSを目立たせて少し暗め紫系でおまかせです,,,,,,
8,1:45,~,2:15,,明るく　紫とムービングをお願いします,,,,,,
9,2:15,~,2:3０,,曲調変化　赤系でお願いします,,,,,,
10,2:30,~,2:45,,サビ　カラフルでおまかせです,,,,,,
11,2:45,~,3:00,,カラフルでおまかせです,,,,,,
12,3:00,~,,,最後はカウント１で余韻があって終わります,,,,,,
13,,~,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
