演目順,1,－,６,板付,,,,,,ピンスポ　なし　　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",月４ちびちび,,,,TIME,：,3:28,人数,1２,人,
使用曲,ポケモンONE ONLY STORY　アイドルプリキュア,,,,衣装：,下－,赤白系,上－,赤白系,,
全体の雰囲気,かっこいい　楽しい　可愛い,,,,,,,,,,
ポイント,１曲目　かっこいい　２曲目　楽しい　可愛い,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:29 ,,青系でスタート　明るめ,,,,,,
2,0:29 ,~,0:42 ,,Aメロ　おまかせです,,,,,,　
3,0:42,~,0:57,,Bメロ　少し雰囲気を変えてください,,,,,,
4,0:57,~,1:12 ,,サビ　明るく,,,,,,
5,1:15,~,1:54,,2曲目　プリキュア　カラフルにお願いします,,,,,,
6,1:54,~,2:06,,曲変化　雰囲気を変えてください　ピンク系,,,,,,
7,2:06,~,2:30,,サビ　カラフル明るくムービングで動きを出してください,,,,,,
8,2:30,~,2:43,,曲変化　雰囲気を変えてください　青系,,,,,,
9,2:43,~,2:56,,ラスト　カラフルで明るく,,,,,,
10,2:56,,,,カウント２でポーズです,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
