演目順,２,－,９,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",月曜５時キッズスタートクラス,,,,TIME,：,3:09,人数,２９,人,
使用曲,dancing with my finger /dreamin' on,,,,衣装：,下－,黒,上－,カラフルジャンパー,,
全体の雰囲気,かっこいい　元気,,,,,,,,,,
ポイント,スタートの４カウントピンスポ　１曲目後半のサスをつけるところ　２曲使い,,,,,,,,,,
番号,,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:11,,ギターの音でスタート　SSプラス黄色系でお願いします,,,,,,
2,0:09,~,,,センター　一平くん　４カウントのみピンスポ,,,,,,　
3,0:11,~,1:12,,青系でおまかせです,,,,,,
4,1:12,~,1:19,,雰囲気変化　サスを３つとも２エイトつけます　黄色系で,,,,,,
5,1:29,~,1:54,,２曲目イントロ　オレンジ系でお願いします,,,,,,
6,1:54,~,２:29,,Aメロ　色変化　緑系でお願いします,,,,,,
7,2:29,~,2:55,,サビ　オレンジ系でお願いします,,,,,,
8,2:55,~,3:07,,曲調変化　赤系でおまかせです,,,,,,
9,3:07,~,,,ラストは７で長い高い声でみんな腕を掲げて終わります,,,,,,
10,,~,,,,,,,,,
11,,~,,,,,,,,,
12,,~,,,,,,,,,
13,,~,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
