演目順,1,－,１４,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",月曜６時HOUSEクラス,,,,TIME,：,2：56,人数,３４,人,
使用曲,everything,,,,衣装：,下－,黒,上－,白黒シャツ　赤のアクセント,,
全体の雰囲気,クールな感じから盛り上がって最後はまたクールな感じに戻る,,,,,,,,,,
ポイント,ソロピンスポあり　センターサスあり,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:32,,だんだんBEATとともに踊る人が増えていく　SSと素明かり,,,,,,
2,0:32,~,1:03,,赤を付け足してください,,,,,,　
３,1:03,~,1:18,,ソロ４エイト　ピンスポ　全体的にはある程度明るく　　　　　　センター後ろから前に出てきます,,,,,,
４,1:18,~,1:33,,明るく賑やかにお願いします,,,,,,
５,1:33,~,1:44,,センター　サスを照らす　３エイト　8カウントソロ3人,,,,,,
６,1:44,~,1:49,,明るく賑やかにお願いします,,,,,,
７,1:49,~,2:04,,曲調変化　紫系でお願いします,,,,,,
８,2:04,~,2:19,,曲調変化　赤系でお願いします,,,,,,
９,2:19,~,2:50,,曲調変化　青系でお願いします,,,,,,
１０,2:50,~,,,ラストはカウント１でステップからのポーズ,,,,,,
