,1,－,４,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",月曜７時初心者クラス,,,,TIME,：,3:15,人数,３２,人,
使用曲,sorry -justin bieber/ LMFAO-sorry for party rockin,,,,衣装：,下－,ブルージーンズ,上－,カラフルバスケシャツ,,
全体の雰囲気,１曲目明るい　楽しい　２曲目　盛り上げ　楽しい　弾ける,,,,,,,,,,
ポイント,ピンスポあり　＆グループダンス４等分　下手前側から上手前側、下手後ろ、上手後ろ,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:10,,バックライトを使って　赤系でお願いします,,,,,,
2,0:1０,~,0:29,,赤系でお願いします,,,,,,　
3,0:29,~,0:48,,雰囲気を変えて 黄色系でお願いします　だんだん盛り上がる,,,,,,
4,0:48,~,1:07,,サビ　明るく　おまかせです,,,,,,
5,1:07,~,1:17,,少し明るさを落として　青系,,,,,,
6,1:19,~,1:36,,２曲目　イントロ　盛り上げ　賑やかに,,,,,,
7,1:36,~,1:59,,Aメロ　カラフルでおまかせ,,,,,,
8,1:59,~,2:04,,雰囲気を変えます　青系,,,,,,
9,2:04,~,2:11,,ピンスポ　真ん中ヘソ　ジョニーさん　２エイト,,,,,,
10,2:16,~,2:44,,グループダンス２エイトづつ　下手前　上手前　下手後ろ　上手後ろ　舞台を四等分で順番に明るくする照明をお願いします,,,,,,
11,2:48,~,3:09,,ラスト　賑やかにおまかせです,,,,,,
12,3:09,~,3:15,,真ん中に集まって　ポーズの後　手を振って終わり,,,,,,
13,,~,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
