,,,,,
演目順,am１2,,,板付き,ピンスポ：　有　
2023年　第1回 S.O.Pミニ発表会　照明プラン,,,,,
,,,,,
,,,,,
ｸﾗｽ名,月曜8時ＨＩＰＨＯＰマスタークラス,,,,TIME: 　  ３ ：　00　人数 　7人
使用曲,birthday & TIME,,,,衣装：下－黒　上－白Ｔに　グレーシャツ
"全体の
雰囲気",1曲目　雰囲気のあるカッコよさ　2曲目　明るく楽しい感じ,,,,
ポイント,1曲目の中盤にソロパートあり　後半　ラスト前ピンスポあり,,,,
番号,時間,,,フォーメーション,　照明要望等
1,0:00,~,0:07,,始めはＳＳとバックライトで雰囲気を出してスタート
,,~,,,背景(黒)　白系
２,0:07,~,0:45,,青系をすこし入れる
３,0:45,~,1:15,,青と赤と緑を混ぜる
４,1:15,~,1:31,,8カウントずつ　真ん中　下手　真ん中　上手の順にピンスポ
５,1:31,~,1:38,,白系で雰囲気を出す
６,1:38,~,2:03,,2曲目　赤　黄色を使って明るめに切り替える
７,2:03,~,2:19,,2ｴｲﾄ　二人　2ｴｲﾄ　ﾘｮｳﾀソロ　ピンスポでセンター
８,2:19,~,2:28,,時計の音　色を落として　明るさも少し落とす
９,2:28,~,2:44,,ソロ　4ｴｲﾄ　ピンスポ　真ん中
１０,2:44,~,3:00,,カラフルで　賑やかに　おまかせです
１１,,~,,,
