演目順,２,－,２１,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",月曜８時マスタークラス,,,,TIME,：,3:02,人数,11,人,
使用曲,flowers-ゆず,,,,衣装：,下－,ブルージーンズ,上－,花柄シャツ,,
全体の雰囲気,だんだん花が咲いていって花びらが舞ったり　枯れそうになったりという　ドラマチックな感じ,,,,,,,,,,
ポイント,サスとピンスポの掛け合い　　終わったら緞帳をおろす,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:13,,水滴の音が始まったら青色のサスをフェードイン　ギターの音が始まったら緑に変えていく,,,,,,
2,0:13,~,0:28,,色変化オレンジに,,,,,,　
3,0:28,~,0:43,,明るく　黄色系でお願いします,,,,,,
4,0:43,~,1:16,,カラフルに賑やかにお願いします,,,,,,
5,1:16,~,1:22,,一度　明るさを落として　緑系でお願いします,,,,,,
6,1:22,~,1:25,,下手サス　8カウント　3人,,,,,,
7,1:25,~,1:29,,センター　真ん中　若干上手より3人　ピンスポ,,,,,,
8,1:29,~,1:33,,下手前方2人　8カウント　ピンスポ,,,,,,
9,1:33,~,1:37,,下手中央と後方から2人センター前方に移動してくる,,,,,,
10,1:37,~,1:51,,明るく　黄色系でお願いします,,,,,,
11,1:51,~,2:06,,曲調変化　ミラーボールで青系でお願いします,,,,,,
12,2:06,~,2:10,,ｾﾝﾀｰサス　点滅系　赤+　ソロ　ピンスポ　8カウントから次にも続く,,,,,,
13,2:10,~,2:24,,ｾﾝﾀｰサス　色を青　+ソロ　ピンスポ　3エイト,,,,,,
14,2:24,~,2:56,,全体的にカラフルで明るくお願いします,,,,,,
15,2:56,~,,,ラストはカウント7で余韻をだしておわる,,,,,,
16,,~,,,,,,,,,
