演目順,２,－,３,音先,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",木曜５時キッズスタートクラス,,,,TIME,：,3:07,人数,27,人,
使用曲,I believe in miracles/for ever love,,,,衣装：,下－,ブルージーンズ,上－ナンバリングTシャツ,,,
全体の雰囲気,賑やか　明るい　楽しい,,,,,,,,,,
ポイント,ピンスポあり　２曲目始めと後半,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,1:１1,,カラフルで賑やかに,,,,,,
2,1:11,~,1:22,,サビ　,,,,,,　
3,1:22,~,1:30,,２曲目　二人センター前　２エイトソロピンスポ,,,,,,
4,1:30,~,1:40,,３箇所に集まって団結　音は少し小さくなる,,,,,,
5,1:40,~,2:27,,明るく　賑やかにカラフル,,,,,,
6,2:27,~,2:35,,センター前8カウントソロピンスポ　センター両サイド2人ソロ8カウント　　　　　雰囲気を変えたいです,,,,,,
7,2:35,~,2:58,,明るく　賑やかにカラフル,,,,,,
8,2:58,~,,,最後真ん中に集まって手を振って終わります,,,,,,
9,,~,,,,,,,,,
10,,~,,,,,,,,,
11,,~,,,,,,,,,
12,,~,,,,,,,,,
13,,~,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
