演目順,２,－,１０,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",木曜７時HIPHOPステップアップクラス,,,,TIME,：,3:16,人数,36,人,
使用曲,hana-ROSE,,,,衣装：,下－,赤黒,上－,赤黒,,
全体の雰囲気,強い　かっこいい　綺麗　自信に満ちている,,,,,,,,,,
ポイント,ソロ２箇所　半分づつ照らすところあり　サビ3回や強弱を表現して頂ければと思います,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:08,,イントロ　センターサスとSSを使って雰囲気を出す　赤系,,,,,,
2,0:08,~,0:24,,色追加　赤と青,,,,,,　
3,0:24,~,0:39,,青と緑でお願いします,,,,,,
4,0:39,~,０:54,,サビ　ムービングを使って動きを出しつつ　赤系で賑やかに,,,,,,
5,0:54,~,1:10,,２エイト下手　その後２エイト上手　半分だけ照らす照明をお願いします,,,,,,
6,1:10,~,1:17,,ソロ　センターヘソ前　２エイト　ゆりな,,,,,,
7,1:17,~,1:25,,サビ前　青と緑でお願いします,,,,,,
8,1:25,~,1:41,,サビ２　ムービングを使って動きを出しつつ　赤系で賑やかに,,,,,,
9,1:41,~,1:56,,雰囲気変化をお願いします,,,,,,
10,1:56,~,2:11,,雰囲気変化　ペアパート　少し暗めでSSを目立たせてください,,,,,,
11,2:11,~,2:19,,ソロ　下手前　２エイト　ピンスポ　あやね,,,,,,
12,2:19,~,2:30,,刀の効果音が入ってきます　黄色系,,,,,,
13,2:30,~,2:46,,サビ3　ムービングを使って動きを出しつつ　赤系で賑やかに,,,,,,
14,2:46,~,3:02,,ラスト　赤系でおまかせです,,,,,,
15,3:02,~,,,カウント２で余韻を出して終わります,,,,,,
16,,~,,,,,,,,,
