演目順,1,－,１７,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",木曜キッズLOCKクラス,,,,TIME,：,2:57,人数,３４,人,
使用曲,get away /dreamer,,,,衣装：,下－,黒,上－,白シャツ スパンコールネクタイ　,,
全体の雰囲気,COOLで勢いがある,,,,,,,,,,
ポイント,２曲目からソロ/グループ8カウント４つ/ソロ２エイト/グループ２つ　２曲使い　グループの６つ分け,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:10,,イントロ　メリハリのある音なので動きを出してください　赤系,,,,,,
2,0:1０,~,0:28,,青系でおまかせです,,,,,,　
3,0:28,~,0:36,,色変化　緑系でお願いします,,,,,,
4,0:36,~,０:58,,Aメロ　青系にもどります,,,,,,
5,0:58,~,1:05,,１曲目ラスト　赤系でお願いします,,,,,,
6,1:05,~,1:13,,２曲目　動きを出してください,,,,,,
7,1:13,~,1:21,,ソロ　ピンスポ　センターヘソ　２エイト,,,,,,
8,1:21,~,1:36,,賑やかに　青　黄色　赤を混ぜて交互につける感じ,,,,,,
9,1:36,~,1:50,,集まって音が静かになるので青系でおまかせです,,,,,,
10,1:50,~,2:20,,グループダンス8カウント４つ。ソロ２エイト。グループ２つ　／センター後ろ、センター前、上手後ろ、下手後ろ、ソロセンター、上手前、下手前,,,,,,
11,2:20,~,2:50,,ラストパート　賑やかにお願いします,,,,,,
12,2:50,~,,,最後は右手を挙げて余韻を残して終わりです,,,,,,
13,,~,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
