演目順,1,－,１５,板付,,,,,,ピンスポ　なし　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",木曜フリースタイルクラス,,,,TIME,：,3:04,人数,15,人,
使用曲,riot in lagos  / astro,,,,衣装：,下－,黒,上－,シルバー,,
全体の雰囲気,宇宙空間や他の世界のような感じ,,,,,,,,,,
ポイント,2曲目の入りの場面転換の見せ方,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:08,,宇宙っぽい感じの世界観を出したい,,,,,,
２,0:08,~,0:23,,BEATが入るので白の明かりで雰囲気を出してください,,,,,,
3,0:23,~,0:38,,色変化　青系でお願いします,,,,,,
4,0:38,~,1:08,,色変化　黄色系でお願いします,,,,,,　
5,1:08,~,1:23,,色変化　赤系でお願いします,,,,,,
6,1:23,~,1:40,,色変化　　紫系でお願いします,,,,,,
7,1:40,~,1:44,,だんだん暗くしてください,,,,,,
8,1:44,~,1:5９,,曲変化　青系勢いを出す点滅でだんだん遅くなります,,,,,,
9,1:59,~,2:14,,２曲目　黄色系で　エネルギッシュにお願いします,,,,,,
10,2:14,~,2:29,,青色と緑でお願いします,,,,,,
11,2:29,~,2:44,,黄色系でエネルギッシュにお願いします,,,,,,
12,2:44,~,2:59,,カラフルで賑やかにお願いします,,,,,,
13,2:59,~,,,最後はカウント１でポーズプラス余韻を見せます,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
