演目順,1,－,５,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",火曜６時初中級クラス,,,,TIME,：,3:０５,人数,２９,人,
使用曲,Motownphilly-ボーイズⅡメン,,,,衣装：,下－,黒,上－,スタジャン,,
全体の雰囲気,1970年代のミドルスクールHIPHOP　かっこいい,,,,,,,,,,
ポイント,ピンスポあり　センターヘソ　そうすけ　センター前　ふうか　グループあり,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:05,,初めは曲の始まりと同時にセンター後ろココにピンスポを当てる,,,,,,
2,0:05,~,0:25,,イントロ部分　明るくカラフルでお願いします,,,,,,　
3,0:25,~,0:45,,青系でおまかせです,,,,,,
4,0:45,~,0:50,,ピンスポ　センターヘソ　そうすけ　１✖️8プラス４カウント,,,,,,
5,0:50,~,1:05,,青系でおまかせです,,,,,,
6,1:05,~,1:14,,センター前　ふうかソロ　２✖️８,,,,,,
7,1:14,~,1:33,,ムービングで動きを出してください,,,,,,
8,1:33,~,2:15,,グループダンス　サス2✖️8づつ　センター　下手　上手　センター　下手の順,,,,,,
9,2:15,~,2:31,,音のトーンが下がるので、照明も雰囲気を出してください,,,,,,
10,2:31,~,3:02,,ラストにかけて賑やかな感じでお願いします,,,,,,
11,3:02,~,,,ラストはカウント６で真ん中に寄ってきてポーズ,,,,,,
12,,~,,,,,,,,,
13,,~,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
