演目順,２,－,１９,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",火曜８時上級クラス,,,,TIME,：,3:16,人数,11,人,
使用曲,ライラック,,,,衣装：,下－,白Yシャツ　グレーベスト,上－,グレーパンツ,,
全体の雰囲気,青春！　抑揚が色々とあるので場面場面で色を変える,,,,,,,,,,
ポイント,初めのピンスポは３人を入れるので大きめで２つ使う　後半は時間が短いので注意　半分づつ明かりをつけるところあり　,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:14,,イントロ　ギター音　強め　黄色系,,,,,,
2,0:14,~,0:26,,ギターが激しくなるのでそれに合わせてムービングもお願いします,,,,,,　
3,0:26,~,0:52,,Aメロ　紫系でお願いします,,,,,,
4,0:52,~,1:05,,曲調変化　雰囲気を変えてください,,,,,,
5,1:05,~,1:30,,サビ　明るくカラフルにお願いします,,,,,,
6,1:30,~,1:4３,,ピンスポ　センター前３人　,,,,,,
7,1:43,~,1:53,,SSも使って下手半分１３カウント明るくその後上手１３カウント,,,,,,
8,1:53,~,2:04,,SSをベースに全体もある程度明るく　青系,,,,,,
9,2:04,~,2:19,,曲調変化　紫系でお願いいます。,,,,,,
10,2:19,~,2:4５,,曲変化　盛り上がってくるので赤系でお願いします,,,,,,
11,2:45,~,2:57,,曲変化　エンディングっぽい感じ　明るめでカラフルに,,,,,,
12,2:57,~,2:59,,ピンスポ４カウント　七瀬センターヘソ付近,,,,,,
13,2:59,~,3:11,,ラスト合わせ　ギターの音に変化　黄色と紫を混ぜてください,,,,,,
14,3:11,~,,,ラストは横一列で前に出てきて終わりです,,,,,,
15,,~,,,,,,,,,
