演目順,２,－,５,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",火曜中級クラス,,,,TIME,：,3:11,人数,25,人,
使用曲,HOWL/imazu ayumu,,,,衣装：,下－,ブルージーンズ,上－,白系シャツ,,
全体の雰囲気,クール　,,,,,,,,,,
ポイント,ソロピンスポ２箇所　グループ　５つ　１曲使い,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:09,,イントロ　赤系でトランペットと警報の雰囲気,,,,,,
2,0:09,~,0:39,,Aメロ　緑系でお願いします,,,,,,　
3,0:39,~,0:47,,曲調変化　赤系でお願いします,,,,,,
4,0:47,~,1:04,,サビ　黄色系でお願いします,,,,,,
5,1:04,~,1:20,,２番　緑系でお願いします,,,,,,
6,1:20,~,1:34,,曲調変化　赤系でお願いします,,,,,,
7,1:34,~,1:40,,ソロセンター前　みお　１✖️８➕４カウント,,,,,,
8,1:42,~,1:57,,グループ　サス　２エイト　センター＆上手,,,,,,
9,1:57,~,2:05,,２チーム目が終わったら間の２エイトみんなで踊る,,,,,,
10,2:05,~,2:20,,グループ　サス　２エイト　センター＆下手,,,,,,
11,2:20,~,2:37,,ソロ　上手前方　さやか　２エイト　その後　サスグループ２エイトセンター,,,,,,
12,2:37,~,3:08,,ラスト　合わせ　カラフルでおまかせです,,,,,,
13,3:08,~,,,ある程度真ん中に集まって余韻を出して終わります,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
