演目順,２,－,１７,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",金曜８時LOCKクラス,,,,TIME,：,3:06,人数,22,人,
使用曲,Soul with a capital S,,,,衣装：,下－,こげ茶色,上－,黒シャツ,,
全体の雰囲気,勢いがあって　エネルギッシュ　テンション高め,,,,,,,,,,
ポイント,ソロ　サスから前に移動　,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:08,,スタートは音にはめつつバックライト➕SSで見せる,,,,,,
2,0:08,~,0:37,,勢いよく広がっていく　赤、黄色系でお願いします,,,,,,　
3,0:37,~,0:47,,青、緑系でお願いします,,,,,,
4,0:47,~,1:00,,サビ　赤、黄色系でお願いします,,,,,,
5,1:00,~,1:08,,サビ２　黄色系でお願いします,,,,,,
6,1:08,~,1:22,,赤系でお願いします,,,,,,
7,1:22,~,1:32,,青、緑系でお願いします,,,,,,
8,1:32,~,1:45,,サビ　赤、黄色系でお願いします,,,,,,
9,1:45,,1:52,,ソロセンター前　ピンスポ　２エイト　クレア,,,,,,
10,1:52,~,2:16,,グループダンス２エイト，サスの位置から始まって前に出てくる　　　サスとピンスポで追う　上手　下手　センター,,,,,,
11,2:16,~,2:32,,サビ　赤、黄色系でお願いします,,,,,,
12,2:32,~,2:37,,音ハメ➕音が小さくなります　バックライトからのSS,,,,,,
13,2:37,~,2:57,,最後の合わせ　カラフルで明るくお願いします,,,,,,
,3:00,~,,,ラストは真ん中に集まってきてポーズ,,,,,,
,,~,,,,,,,,,
,,~,,,,,,,,,
