演目順,1,－,１６,板付,,,,,,ピンスポ　あり　,
第1９回　S.O.P発表会 照明プラン,,,,,,,,,,,
"ｸﾗｽ
名",金曜 キッズステップアップクラス,,,,TIME,：,3:00,人数,３２,人,
使用曲,百花繚乱,,,,衣装：,下－,黒,上－,総柄シャツ,,
全体の雰囲気,元気　華やか　賑やか,,,,,,,,,,
ポイント,サスを３箇所照らす部分　グループダンス４分割の順番とソロ,,,,,,,,,,
番号,時間,,,フォーメーション,　照明 要望等,,,,,,
1,00:00,~,0:13,,イントロ　カラフルで明るく,,,,,,
2,0:13,~,0:19,,タッタタラッタ① 　赤でお願いします,,,,,,　
3,0:1９,~,0:32,,紫でお願いします,,,,,,
4,0:32,~,0:57,,黄色と赤でお願いします,,,,,,
5,0:57,~,１:04,,タッタタラッタ②緑でお願いします,,,,,,
6,1:04,~,1:29,,青でお願いします,,,,,,
7,1:29,~,1:47 ,,サスを３箇所つけて移動に合わせて全体に戻してください　　　　照明はムービングも入れてカラフルで賑やかにお願いします,,,,,,
8,1:47,~,2:01,,真ん中に集まる　音のトーンが落ちるので　青系で雰囲気を出してください　,,,,,,
9,2:01,~,2:14,,広がる／色も黄色系でだんだん明るくしていってください,,,,,,
10,2:14,,2:40,,グループソロ8カウントづつ　４分割の照明で順番に照らしてください　　　　　上手後ろ　下手前　上手前　下手後ろ　上手後ろ　下手前　上手前　下手後ろ,,,,,,
11,2:40,~,2:46,,ソロピンスポ-8カウント　センター前　下手側　エバ→上手側　ハナ,,,,,,
12,2:46,~,2:57,,ラスト合わせ　カラフルで明るく,,,,,,
13,2:57,~,,,カウント５で余韻を出して終わります,,,,,,
13,,~,,,,,,,,,
14,,~,,,,,,,,,
15,,~,,,,,,,,,
